,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,wangdue phodrang,27.4862,89.8991,293.19,99,100,"{'speed': 1.09, 'deg': 350, 'gust': 1.16}",BT,1695413841
101,kodiak,57.79,-152.4072,281.88,71,0,"{'speed': 2.06, 'deg': 150}",US,1695413488
102,geraldton,-28.7667,114.6,285.38,94,75,"{'speed': 0, 'deg': 0}",AU,1695413551
103,avarua,-21.2078,-159.775,293.18,56,100,"{'speed': 3.09, 'deg': 170, 'gust': 10.29}",CK,1695413489
104,padang,-0.9492,100.3543,296.18,88,100,"{'speed': 1.26, 'deg': 120, 'gust': 1.4}",ID,1695413842
105,noosa heads,-26.3833,153.15,288.34,61,100,"{'speed': 9.15, 'deg': 139, 'gust': 11.15}",AU,1695413628
106,gadzhiyevo,69.2551,33.3362,285.1,93,100,"{'speed': 6.46, 'deg': 187, 'gust': 12.49}",RU,1695413540
107,daru,-9.0763,143.2092,296.99,71,24,"{'speed': 4.83, 'deg': 124, 'gust': 7.12}",PG,1695413520
108,colonia,50.9333,6.95,287.57,82,40,"{'speed': 4.63, 'deg': 200}",DE,1695413563
109,dudinka,69.4058,86.1778,276.83,96,100,"{'speed': 8.56, 'deg': 16, 'gust': 12.86}",RU,1695413480
110,san andres,12.5847,-81.7006,305.16,70,20,"{'speed': 3.6, 'deg': 80}",CO,1695413843
111,aswan,24.0934,32.907,305.04,22,4,"{'speed': 4.76, 'deg': 340, 'gust': 8.8}",EG,1695413843
112,pergamino,-33.89,-60.5736,293.57,57,55,"{'speed': 7.4, 'deg': 100, 'gust': 8.13}",AR,1695413843
113,gulf shores,30.246,-87.7008,304.45,64,20,"{'speed': 5.14, 'deg': 90}",US,1695413844
114,melfort,52.8667,-104.6177,295.22,33,31,"{'speed': 4.12, 'deg': 130}",CA,1695413844
115,blackmans bay,-43.0167,147.3167,279.55,91,100,"{'speed': 1.61, 'deg': 297, 'gust': 1.54}",AU,1695413477
116,tralee,52.2704,-9.7026,282.08,77,8,"{'speed': 1.9, 'deg': 334, 'gust': 2.28}",IE,1695413512
117,bel ombre,-4.6167,55.4167,299.06,89,75,"{'speed': 6.69, 'deg': 140}",SC,1695413538
118,lompoc,34.6391,-120.4579,299.27,67,20,"{'speed': 4.63, 'deg': 330}",US,1695413384
119,khovd,48.0056,91.6419,283.48,48,89,"{'speed': 2.14, 'deg': 233, 'gust': 2.06}",MN,1695413845
120,lusaka,-15.4067,28.2871,294.88,32,6,"{'speed': 2.42, 'deg': 85, 'gust': 6.64}",ZM,1695413845
121,haverfordwest,51.8017,-4.9691,286.79,83,31,"{'speed': 6.22, 'deg': 324, 'gust': 9.05}",GB,1695413845
122,cole harbour,44.6724,-63.4751,292.02,54,0,"{'speed': 2.06, 'deg': 270}",CA,1695413845
123,veinticinco de mayo,-35.4323,-60.1727,289.81,60,99,"{'speed': 3.13, 'deg': 90, 'gust': 7.15}",AR,1695413771
124,bluefields,12.0137,-83.7635,303.19,84,40,"{'speed': 2.06, 'deg': 100}",NI,1695413846
125,kyshtovka,56.555,76.6271,278.32,93,6,"{'speed': 4.11, 'deg': 297, 'gust': 11.05}",RU,1695413846
126,ventspils,57.3894,21.5606,294.11,73,0,"{'speed': 2.06, 'deg': 160}",LV,1695413846
127,poyang,28.9924,116.6675,294.27,90,100,"{'speed': 2.38, 'deg': 358, 'gust': 3.37}",CN,1695413846
128,axim,4.8699,-2.2405,298.12,91,97,"{'speed': 2.43, 'deg': 213, 'gust': 4.28}",GH,1695413847
129,badger,64.8,-147.5333,277.29,92,100,"{'speed': 0, 'deg': 0}",US,1695413561
130,kayangel,8.0823,134.7173,301.5,79,98,"{'speed': 7.22, 'deg': 256, 'gust': 8.15}",PW,1695413847
131,laguna de perlas,12.3429,-83.6712,303.2,82,100,"{'speed': 1.93, 'deg': 50, 'gust': 3.27}",NI,1695413847
132,goz beida,13.95,20.55,299.24,64,96,"{'speed': 8.16, 'deg': 143, 'gust': 11.65}",TD,1695413848
133,tura,25.5198,90.2201,295.97,98,100,"{'speed': 1.54, 'deg': 80, 'gust': 3.51}",IN,1695413483
134,kailua-kona,19.6406,-155.9956,302.13,77,20,"{'speed': 5.14, 'deg': 200}",US,1695413587
135,weno,7.4515,151.8468,302.04,79,100,"{'speed': 8.54, 'deg': 265, 'gust': 9.57}",FM,1695413491
136,invercargill,-46.4,168.35,279.83,90,100,"{'speed': 1.34, 'deg': 154, 'gust': 3.58}",NZ,1695413501
137,stanley,54.868,-1.6985,284.7,93,69,"{'speed': 2.29, 'deg': 314, 'gust': 4.51}",GB,1695413497
138,baise city,23.8997,106.6133,297.68,93,23,"{'speed': 0.9, 'deg': 107, 'gust': 1.05}",CN,1695413849
139,tchintabaraden,15.8969,5.7985,310.44,15,46,"{'speed': 2.11, 'deg': 319, 'gust': 2.96}",NE,1695413849
140,bardai,11.65,7.2333,297.89,76,93,"{'speed': 3.68, 'deg': 204, 'gust': 5.25}",NG,1695413525
141,ulsteinvik,62.3432,5.8487,288.32,72,15,"{'speed': 3.13, 'deg': 98, 'gust': 5.36}",NO,1695413601
142,gonabad,34.3529,58.6837,289.01,29,0,"{'speed': 3.4, 'deg': 147, 'gust': 5.4}",IR,1695413849
143,florence,43.7667,11.25,294.56,80,0,"{'speed': 2.57, 'deg': 170}",IT,1695413583
144,ostrov,57.3439,28.3537,290.0,51,4,"{'speed': 5.63, 'deg': 158, 'gust': 15.46}",RU,1695413850
145,ogden,41.223,-111.9738,289.48,64,75,"{'speed': 7.72, 'deg': 340, 'gust': 11.83}",US,1695413730
146,bambanglipuro,-7.95,110.2833,294.15,93,88,"{'speed': 0.51, 'deg': 22, 'gust': 1.03}",ID,1695413850
147,san luis de la loma,17.2706,-100.8939,305.35,63,9,"{'speed': 5.29, 'deg': 261, 'gust': 4.92}",MX,1695413850
148,port elizabeth,-33.918,25.5701,290.31,77,75,"{'speed': 4.12, 'deg': 220}",ZA,1695413506
149,saint-pierre,-21.3393,55.4781,295.13,68,20,"{'speed': 3.09, 'deg': 100}",RE,1695413498
150,cabo san lucas,22.8909,-109.9124,309.6,66,0,"{'speed': 5.14, 'deg': 230}",MX,1695413279
151,severo-yeniseyskiy,60.3725,93.0408,282.25,78,100,"{'speed': 4.6, 'deg': 199, 'gust': 12.86}",RU,1695413558
152,tannum sands,-23.9504,151.3693,291.09,68,75,"{'speed': 3.6, 'deg': 150}",AU,1695413851
153,panaba,21.2833,-88.2667,307.34,46,71,"{'speed': 6.39, 'deg': 359, 'gust': 4.65}",MX,1695413851
154,el porvenir,13.7617,-87.3458,306.78,33,22,"{'speed': 1.88, 'deg': 96, 'gust': 4.53}",HN,1695413852
155,quellon,-43.1167,-73.6167,282.29,71,75,"{'speed': 5.14, 'deg': 220}",CL,1695413852
156,wanning,18.8003,110.3967,298.64,86,96,"{'speed': 1.75, 'deg': 337, 'gust': 1.9}",CN,1695413852
157,mbeni,-11.5014,43.3775,295.54,78,6,"{'speed': 0.5, 'deg': 33, 'gust': 0.61}",KM,1695413852
158,kone,-21.0595,164.8658,293.88,88,5,"{'speed': 1.07, 'deg': 6, 'gust': 1.35}",NC,1695413501
159,enewetak,11.3474,162.3373,302.03,76,38,"{'speed': 7.01, 'deg': 109, 'gust': 7.32}",MH,1695413533
160,kingscliff,-28.2667,153.5667,288.12,82,100,"{'speed': 5.14, 'deg': 210}",AU,1695413516
161,iwanai,42.9744,140.5089,285.66,89,38,"{'speed': 1.39, 'deg': 179, 'gust': 1.58}",JP,1695413853
162,san antonio de pale,-1.4014,5.6325,298.11,82,100,"{'speed': 5.42, 'deg': 223, 'gust': 5.5}",GQ,1695413554
163,abadeh,31.1608,52.6506,291.59,24,5,"{'speed': 2.55, 'deg': 313, 'gust': 2.67}",IR,1695413854
164,ust-nera,64.5667,143.2,269.7,93,81,"{'speed': 1.73, 'deg': 215, 'gust': 1.65}",RU,1695413337
165,breves,-1.6822,-50.4803,304.1,58,57,"{'speed': 1.73, 'deg': 44, 'gust': 5.71}",BR,1695413854
166,yelan',50.949,43.7378,288.14,28,0,"{'speed': 3.42, 'deg': 132, 'gust': 4.46}",RU,1695413854
167,taulaga,-11.0553,-171.0883,300.4,82,97,"{'speed': 10.17, 'deg': 111, 'gust': 11.36}",AS,1695413595
168,canico,32.6333,-16.85,297.99,90,40,"{'speed': 6.17, 'deg': 360}",PT,1695413854
169,margaret river,-33.95,115.0667,285.71,82,28,"{'speed': 4.09, 'deg': 207, 'gust': 5.37}",AU,1695413481
170,bamboo flat,11.7,92.7167,299.96,82,60,"{'speed': 4.33, 'deg': 285, 'gust': 6.62}",IN,1695413550
171,hepo,23.4308,115.8299,297.76,95,7,"{'speed': 0.38, 'deg': 39, 'gust': 0.81}",CN,1695413855
172,hohhot,40.8106,111.6522,289.21,71,0,"{'speed': 3, 'deg': 60}",CN,1695413855
173,yarmouth,41.7057,-70.2286,292.6,65,0,"{'speed': 5.81, 'deg': 58, 'gust': 8.05}",US,1695413533
174,acarau,-2.8856,-40.12,300.58,75,2,"{'speed': 9.41, 'deg': 85, 'gust': 14.17}",BR,1695413522
175,las toscas,-28.3529,-59.258,309.46,36,90,"{'speed': 3.12, 'deg': 142, 'gust': 3.93}",AR,1695413856
176,kosh-agach,50.0,88.6667,277.03,96,100,"{'speed': 1.26, 'deg': 247, 'gust': 2.37}",RU,1695413856
177,swakopmund,-22.6833,14.5333,285.92,85,100,"{'speed': 1.34, 'deg': 245, 'gust': 2.24}",NA,1695413856
178,chonchi,-42.6128,-73.8092,283.22,72,100,"{'speed': 1.98, 'deg': 228, 'gust': 3.45}",CL,1695413514
179,great falls,47.5002,-111.3008,286.4,91,100,"{'speed': 0, 'deg': 0}",US,1695413718
180,flekkefjord,58.2971,6.6607,288.12,91,59,"{'speed': 0.66, 'deg': 169, 'gust': 1.32}",NO,1695413857
